"","Happiness.Score","border.countries","coastline","climate","religions","median.age","population.growth.rate","life.expectancy","health.expenditure","obesity.rate","government.type","GDP.growth.rate"
"1","2.69-4.80","1","0","varied","90-100","10-30","1","50-60","6-9","0-15","presidential republic","1"
"2","2.69-4.80","1","1","hot","50-60","30-50","1","70-80","3-6","15-30","parliamentary republic","1"
"3","4.80-5.96","1","1","varied","90-100","10-30","1","70-80","6-9","15-30","presidential republic","1"
"4","2.69-4.80","1","1","hot","40-50","10-30","1","50-60","3-6","0-15","presidential republic","0"
"5","5.96-7.54","1","1","varied","90-100","30-50","1","70-80","3-6","15-30","presidential republic","0"
"6","2.69-4.80","1","0","varied","90-100","30-50","0","70-80","3-6","15-30","presidential republic","1"
"7","5.96-7.54","0","1","hot","30-40","30-50","1","80-90","9-12","15-30","democracy","1"
"8","5.96-7.54","1","0","cold","70-80","30-50","1","80-90","9-12","15-30","parliamentary republic","1"
"9","4.80-5.96","1","0","varied","90-100","30-50","1","70-80","3-6","15-30","presidential republic","0"
"10","5.96-7.54","0","1","hot","70-80","30-50","1","70-80","3-6","30-45","monarchy","1"
"11","2.69-4.80","1","1","hot","80-90","10-30","1","70-80","0-3","0-15","parliamentary republic","1"
"12","4.80-5.96","1","0","cold","40-50","30-50","0","70-80","3-6","15-30","dictatorship","0"
"13","5.96-7.54","1","1","varied","70-80","30-50","1","80-90","9-12","15-30","democracy","1"
"14","5.96-7.54","1","1","hot","40-50","10-30","1","60-70","3-6","15-30","democracy","0"
"15","2.69-4.80","1","1","hot","20-30","10-30","1","60-70","3-6","0-15","presidential republic","1"
"16","4.80-5.96","1","0","hot","70-80","10-30","1","70-80","3-6","0-15","monarchy","1"
"17","4.80-5.96","1","0","hot","70-80","10-30","1","60-70","6-9","15-30","presidential republic","1"
"18","4.80-5.96","1","1","varied","50-60","30-50","0","70-80","9-12","15-30","parliamentary republic","1"
"19","2.69-4.80","1","0","hot","70-80","10-30","1","50-60","3-6","15-30","parliamentary republic","1"
"20","5.96-7.54","1","1","hot","60-70","30-50","1","70-80","6-9","15-30","presidential republic","0"
"21","2.69-4.80","1","1","varied","50-60","30-50","0","70-80","6-9","15-30","parliamentary republic","1"
"22","2.69-4.80","1","0","hot","60-70","10-30","1","50-60","3-6","0-15","presidential republic","1"
"23","2.69-4.80","1","0","varied","60-70","10-30","1","60-70","6-9","0-15","presidential republic","0"
"24","2.69-4.80","1","1","hot","90-100","10-30","1","60-70","3-6","0-15","monarchy","1"
"25","2.69-4.80","1","1","hot","30-40","10-30","1","50-60","3-6","0-15","presidential republic","1"
"26","5.96-7.54","1","1","varied","30-40","30-50","1","80-90","9-12","30-45","democracy","1"
"27","2.69-4.80","1","0","hot","30-40","10-30","1","50-60","3-6","0-15","presidential republic","1"
"28","2.69-4.80","1","0","hot","50-60","10-30","1","50-60","3-6","0-15","presidential republic","0"
"29","5.96-7.54","1","1","varied","60-70","30-50","1","70-80","6-9","15-30","presidential republic","1"
"30","4.80-5.96","1","1","hot","10-20","30-50","1","70-80","3-6","0-15","communist state","1"
"31","5.96-7.54","1","1","hot","80-90","10-30","1","70-80","6-9","15-30","presidential republic","1"
"32","2.69-4.80","1","1","hot","30-40","10-30","1","50-60","3-6","0-15","presidential republic","1"
"33","5.96-7.54","1","1","hot","70-80","30-50","1","70-80","9-12","15-30","presidential republic","1"
"34","4.80-5.96","1","1","varied","80-90","30-50","0","70-80","6-9","15-30","parliamentary republic","1"
"35","4.80-5.96","0","1","hot","80-90","30-50","1","70-80","6-9","15-30","democracy","1"
"36","5.96-7.54","1","0","cold","10-20","30-50","1","70-80","6-9","15-30","parliamentary republic","1"
"37","5.96-7.54","1","1","varied","70-80","30-50","1","70-80","9-12","15-30","monarchy","1"
"38","4.80-5.96","1","1","hot","90-100","10-30","1","70-80","3-6","15-30","presidential republic","1"
"39","5.96-7.54","1","1","hot","70-80","10-30","1","70-80","9-12","15-30","presidential republic","0"
"40","2.69-4.80","1","1","hot","80-90","10-30","1","70-80","3-6","15-30","presidential republic","1"
"41","5.96-7.54","1","1","hot","50-60","10-30","1","70-80","6-9","15-30","presidential republic","1"
"42","4.80-5.96","1","1","varied","0-10","30-50","0","70-80","6-9","15-30","parliamentary republic","1"
"43","2.69-4.80","1","0","hot","40-50","10-30","1","60-70","3-6","0-15","parliamentary republic","1"
"44","5.96-7.54","1","1","cold","70-80","30-50","1","80-90","9-12","15-30","parliamentary republic","1"
"45","5.96-7.54","1","1","varied","60-70","30-50","1","80-90","9-12","15-30","presidential republic","1"
"46","2.69-4.80","1","1","hot","40-50","10-30","1","50-60","3-6","15-30","presidential republic","1"
"47","2.69-4.80","1","1","varied","80-90","30-50","0","70-80","6-9","15-30","presidential republic","1"
"48","5.96-7.54","1","1","varied","30-40","30-50","0","80-90","9-12","15-30","parliamentary republic","1"
"49","2.69-4.80","1","1","hot","70-80","10-30","1","60-70","3-6","0-15","presidential republic","1"
"50","4.80-5.96","1","1","hot","90-100","30-50","0","80-90","6-9","15-30","parliamentary republic","1"
"51","5.96-7.54","1","1","hot","40-50","10-30","1","70-80","6-9","15-30","presidential republic","1"
"52","2.69-4.80","1","1","hot","80-90","10-30","1","60-70","3-6","0-15","presidential republic","1"
"53","2.69-4.80","1","1","hot","50-60","10-30","1","60-70","6-9","0-15","presidential republic","1"
"54","4.80-5.96","1","1","hot","90-100","10-30","1","70-80","6-9","15-30","presidential republic","1"
"55","4.80-5.96","0","1","hot","80-90","30-50","1","80-90","6-9","15-30","democracy","1"
"56","4.80-5.96","1","0","cold","30-40","30-50","0","70-80","6-9","15-30","parliamentary republic","1"
"57","5.96-7.54","0","1","varied","70-80","30-50","1","80-90","6-9","15-30","parliamentary republic","1"
"58","2.69-4.80","1","1","hot","70-80","10-30","1","60-70","3-6","0-15","parliamentary republic","1"
"59","4.80-5.96","1","1","hot","80-90","10-30","1","70-80","0-3","0-15","presidential republic","1"
"60","2.69-4.80","1","1","hot","90-100","10-30","1","70-80","6-9","15-30","theocratic republic","1"
"61","2.69-4.80","1","1","varied","90-100","10-30","1","70-80","3-6","15-30","parliamentary republic","1"
"62","5.96-7.54","1","1","varied","80-90","30-50","1","80-90","6-9","15-30","parliamentary republic","1"
"63","5.96-7.54","1","1","hot","70-80","10-30","1","80-90","6-9","15-30","democracy","1"
"64","5.96-7.54","1","1","hot","70-80","30-50","1","80-90","9-12","15-30","parliamentary republic","1"
"65","2.69-4.80","1","1","hot","40-50","10-30","1","50-60","3-6","0-15","presidential republic","1"
"66","4.80-5.96","0","1","hot","60-70","10-30","1","70-80","3-6","15-30","democracy","1"
"67","4.80-5.96","0","1","hot","70-80","30-50","0","80-90","9-12","0-15","monarchy","1"
"68","4.80-5.96","1","1","varied","90-100","10-30","1","70-80","6-9","15-30","monarchy","1"
"69","4.80-5.96","1","0","varied","70-80","30-50","1","70-80","3-6","15-30","presidential republic","0"
"70","2.69-4.80","1","1","hot","80-90","10-30","1","60-70","3-6","0-15","presidential republic","1"
"71","4.80-5.96","1","0","varied","90-100","10-30","1","70-80","0-3","15-30","parliamentary republic","1"
"72","5.96-7.54","1","1","hot","70-80","10-30","1","70-80","0-3","30-45","monarchy","1"
"73","4.80-5.96","1","0","hot","70-80","10-30","1","70-80","6-9","0-15","parliamentary republic","1"
"74","4.80-5.96","1","1","varied","10-20","30-50","0","70-80","3-6","15-30","parliamentary republic","1"
"75","4.80-5.96","1","1","hot","50-60","10-30","1","70-80","6-9","30-45","parliamentary republic","1"
"76","2.69-4.80","1","0","varied","70-80","10-30","1","50-60","9-12","0-15","monarchy","1"
"77","2.69-4.80","1","1","varied","80-90","10-30","1","50-60","9-12","0-15","presidential republic","1"
"78","4.80-5.96","1","1","varied","90-100","10-30","1","70-80","3-6","30-45","in transition","0"
"79","4.80-5.96","1","1","varied","70-80","30-50","0","70-80","6-9","15-30","presidential republic","1"
"80","5.96-7.54","1","0","varied","80-90","30-50","1","80-90","6-9","15-30","monarchy","1"
"81","4.80-5.96","1","0","cold","60-70","30-50","1","70-80","6-9","15-30","parliamentary republic","1"
"82","2.69-4.80","0","1","hot","40-50","10-30","1","60-70","0-3","0-15","presidential republic","1"
"83","2.69-4.80","1","0","hot","80-90","10-30","1","60-70","9-12","0-15","presidential republic","1"
"84","5.96-7.54","1","1","hot","60-70","10-30","1","70-80","3-6","0-15","monarchy","1"
"85","2.69-4.80","1","0","hot","90-100","10-30","1","50-60","6-9","0-15","presidential republic","1"
"86","5.96-7.54","0","1","hot","80-90","30-50","1","80-90","9-12","15-30","parliamentary republic","1"
"87","2.69-4.80","1","1","hot","90-100","10-30","1","60-70","3-6","0-15","presidential republic","1"
"88","4.80-5.96","0","1","hot","40-50","30-50","1","70-80","3-6","15-30","parliamentary republic","1"
"89","5.96-7.54","1","1","hot","80-90","10-30","1","70-80","6-9","15-30","presidential republic","1"
"90","4.80-5.96","1","0","varied","90-100","30-50","0","70-80","9-12","15-30","parliamentary republic","1"
"91","4.80-5.96","1","0","varied","50-60","10-30","1","60-70","3-6","15-30","presidential republic","0"
"92","4.80-5.96","1","1","varied","70-80","30-50","0","70-80","6-9","15-30","parliamentary republic","1"
"93","4.80-5.96","1","1","varied","90-100","10-30","1","70-80","3-6","15-30","monarchy","1"
"94","2.69-4.80","1","1","hot","20-30","10-30","1","50-60","6-9","0-15","presidential republic","1"
"95","2.69-4.80","1","1","hot","80-90","10-30","1","60-70","0-3","0-15","parliamentary republic","1"
"96","2.69-4.80","1","1","hot","70-80","10-30","1","60-70","6-9","15-30","presidential republic","1"
"97","4.80-5.96","1","0","hot","80-90","10-30","1","70-80","3-6","0-15","parliamentary republic","1"
"98","5.96-7.54","1","1","varied","20-30","30-50","1","80-90","9-12","15-30","monarchy","1"
"99","5.96-7.54","0","1","varied","40-50","30-50","1","80-90","9-12","30-45","democracy","1"
"100","5.96-7.54","1","1","hot","50-60","10-30","1","70-80","6-9","15-30","presidential republic","1"
"101","2.69-4.80","1","0","hot","70-80","10-30","1","50-60","3-6","0-15","presidential republic","1"
"102","4.80-5.96","1","1","hot","40-50","10-30","1","50-60","3-6","0-15","presidential republic","0"
"103","5.96-7.54","1","1","cold","80-90","30-50","1","80-90","9-12","15-30","monarchy","1"
"104","4.80-5.96","1","1","hot","90-100","10-30","1","60-70","0-3","0-15","parliamentary republic","1"
"105","5.96-7.54","1","1","hot","80-90","10-30","1","70-80","6-9","15-30","presidential republic","1"
"106","4.80-5.96","1","0","hot","80-90","10-30","1","70-80","9-12","15-30","presidential republic","1"
"107","4.80-5.96","1","1","hot","80-90","10-30","1","70-80","3-6","15-30","presidential republic","1"
"108","4.80-5.96","0","1","hot","80-90","10-30","1","60-70","3-6","0-15","presidential republic","1"
"109","5.96-7.54","1","1","cold","80-90","30-50","0","70-80","6-9","15-30","parliamentary republic","1"
"110","4.80-5.96","1","1","varied","80-90","30-50","1","70-80","9-12","15-30","presidential republic","1"
"111","5.96-7.54","1","1","hot","70-80","30-50","1","70-80","0-3","30-45","monarchy","1"
"112","4.80-5.96","1","1","cold","80-90","30-50","0","70-80","3-6","15-30","presidential republic","1"
"113","5.96-7.54","1","1","cold","10-20","30-50","0","70-80","6-9","15-30","semi-presidential federation","0"
"114","2.69-4.80","1","0","varied","40-50","10-30","1","60-70","6-9","0-15","presidential republic","1"
"115","5.96-7.54","1","1","hot","80-90","10-30","1","70-80","3-6","30-45","monarchy","1"
"116","2.69-4.80","1","1","hot","90-100","10-30","1","60-70","3-6","0-15","presidential republic","1"
"117","4.80-5.96","1","0","varied","80-90","30-50","0","70-80","9-12","15-30","parliamentary republic","1"
"118","2.69-4.80","1","1","hot","50-60","10-30","1","50-60","9-12","0-15","presidential republic","1"
"119","5.96-7.54","0","1","hot","30-40","30-50","1","80-90","3-6","0-15","parliamentary republic","1"
"120","5.96-7.54","1","0","cold","60-70","30-50","1","70-80","6-9","15-30","parliamentary republic","1"
"121","4.80-5.96","1","1","varied","50-60","30-50","0","70-80","9-12","15-30","parliamentary republic","1"
"122","4.80-5.96","1","1","hot","90-100","10-30","1","50-60","0-3","0-15","parliamentary republic","1"
"123","4.80-5.96","1","1","hot","30-40","10-30","1","60-70","6-9","15-30","parliamentary republic","1"
"124","4.80-5.96","1","1","cold","30-40","30-50","1","80-90","6-9","0-15","presidential republic","1"
"125","2.69-4.80","1","0","hot","60-70","10-30","1","50-60","0-3","0-15","presidential republic","0"
"126","5.96-7.54","1","1","varied","90-100","30-50","1","80-90","6-9","15-30","monarchy","1"
"127","2.69-4.80","0","1","hot","70-80","30-50","1","70-80","3-6","0-15","presidential republic","1"
"128","2.69-4.80","1","1","hot","80-90","10-30","1","60-70","6-9","0-15","presidential republic","1"
"129","5.96-7.54","1","1","cold","80-90","30-50","1","80-90","9-12","15-30","monarchy","1"
"130","5.96-7.54","1","0","cold","30-40","30-50","1","80-90","9-12","15-30","federal republic","1"
"131","2.69-4.80","1","1","varied","80-90","10-30","1","70-80","3-6","15-30","presidential republic","0"
"132","5.96-7.54","0","1","hot","90-100","30-50","1","80-90","6-9","15-30","presidential republic","1"
"133","4.80-5.96","1","0","hot","80-90","10-30","1","60-70","6-9","0-15","presidential republic","1"
"134","2.69-4.80","1","1","hot","60-70","10-30","1","60-70","3-6","0-15","presidential republic","1"
"135","5.96-7.54","1","1","hot","90-100","30-50","1","70-80","6-9","0-15","monarchy","1"
"136","2.69-4.80","1","1","hot","20-30","10-30","1","60-70","3-6","0-15","presidential republic","1"
"137","5.96-7.54","0","1","hot","30-40","30-50","0","70-80","3-6","30-45","parliamentary republic","0"
"138","4.80-5.96","1","1","hot","90-100","30-50","1","70-80","6-9","15-30","parliamentary republic","1"
"139","4.80-5.96","1","1","hot","90-100","30-50","1","70-80","3-6","15-30","parliamentary republic","1"
"140","4.80-5.96","1","0","hot","80-90","10-30","1","70-80","0-3","15-30","presidential republic","1"
"141","2.69-4.80","1","0","hot","40-50","10-30","1","50-60","6-9","0-15","presidential republic","1"
"142","2.69-4.80","1","1","varied","60-70","30-50","0","70-80","6-9","15-30","presidential republic","1"
"143","5.96-7.54","1","1","varied","70-80","30-50","1","70-80","3-6","30-45","federation of monarchies","1"
"144","5.96-7.54","1","1","varied","50-60","30-50","1","80-90","9-12","15-30","monarchy","1"
"145","5.96-7.54","1","1","hot","40-50","30-50","1","70-80","15-18","30-45","federal republic","1"
"146","5.96-7.54","1","1","varied","40-50","30-50","1","70-80","6-9","15-30","presidential republic","1"
"147","5.96-7.54","1","0","hot","80-90","10-30","1","70-80","3-6","0-15","presidential republic","1"
"148","4.80-5.96","1","1","hot","90-100","10-30","1","70-80","3-6","15-30","presidential republic","0"
"149","4.80-5.96","1","1","hot","0-10","30-50","1","70-80","6-9","0-15","communist state","1"
"150","2.69-4.80","1","1","hot","90-100","10-30","1","60-70","3-6","0-15","in transition","0"
"151","2.69-4.80","1","0","hot","70-80","10-30","1","50-60","3-6","0-15","presidential republic","1"
"152","2.69-4.80","1","0","hot","70-80","10-30","1","50-60","6-9","0-15","presidential republic","0"
